x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,0-77-153,0-77-153,0-77-153,0-77-153,x,x,x,x,x,x,x,x
x,x,x,x,x,0-77-153,0-77-154,0-77-155,0-77-156,0-77-157,0-77-158,0-77-159,0-77-153,x,x,x,x,x,x
x,x,x,x,0-77-152,153-206-255,153-206-256,153-206-257,153-206-258,153-206-259,153-206-260,153-206-261,153-206-262,0-77-153,x,x,x,x,x
x,x,x,x,0-77-153,153-206-255,153-206-256,153-206-257,153-206-258,153-206-259,153-206-260,153-206-261,153-206-262,0-77-153,x,x,x,x,x
x,x,x,0-77-148,153-206-255,153-206-255,153-206-256,153-206-257,153-206-258,153-206-259,153-206-260,153-206-261,153-206-262,153-206-263,0-77-153,x,x,x,x
x,x,x,0-77-149,153-206-255,153-206-255,255-255-255,x,x,x,255-255-255,x,153-206-263,153-206-264,0-77-153,x,x,x,x
x,x,x,0-77-150,153-206-255,153-206-255,x,x,x,x,x,x,153-206-264,153-206-265,0-77-153,x,x,x,x
x,x,x,0-77-151,153-206-255,153-206-255,153-206-264,x,x,x,x,153-206-264,153-206-265,153-206-266,0-77-153,x,x,x,x
x,x,0-77-153,0-77-152,153-206-255,153-206-255,153-206-264,153-206-264,x,x,153-206-264,153-206-264,153-206-266,153-206-267,0-77-153,0-77-153,x,x,x
x,x,0-77-153,0-77-153,153-206-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,255-255-255,153-206-268,0-77-153,0-77-153,x,x,x
x,x,0-77-153,x,255-255-255,255-255-256,255-255-257,255-255-258,255-255-259,255-255-260,255-255-261,255-255-262,255-255-263,255-255-264,x,0-77-153,x,x,x
x,x,x,x,255-255-255,255-255-256,255-255-257,255-255-258,255-255-259,255-255-260,255-255-261,255-255-262,255-255-263,255-255-264,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
